Date,Price
2021-10-05,100.0
2021-10-06,100.02
2021-10-07,100.03
2021-10-08,100.036
2021-10-09,100.04
2021-10-10,100.05
2021-10-11,100.06
2021-10-12,100.06
2021-10-13,100.7
2021-10-14,100.08
2021-10-15,100.08
2021-10-16,100.09
2021-10-17,100.1
2021-10-18,100.1
2021-10-19,100.11
2021-10-20,100.12
2021-10-21,100.13
2021-10-22,100.13
2021-10-23,100.14
2021-10-24,100.15
2021-10-25,100.15
2021-10-26,100.16
2021-10-27,100.166
2021-10-28,100.173
2021-10-29,100.18
2021-10-30,100.187
2021-10-31,100.193
2021-11-01,100.2
2021-11-02,100.27
2021-11-03,100.214
2021-11-04,100.221
2021-11-05,100.232
2021-11-06,100.243
2021-11-07,100.254
2021-11-08,100.265
2021-11-09,100.275
2021-11-10,100.282
2021-11-11,100.289
2021-11-12,100.296
2021-11-13,100.303
2021-11-14,100.31
2021-11-15,100.317
2021-11-16,100.324
2021-11-17,100.321
2021-11-18,100.328
2021-11-19,100.335
2021-11-20,100.342
2021-11-21,100.349
2021-11-22,100.355
2021-11-23,100.362
2021-11-24,100.369
2021-11-25,100.376
2021-11-26,100.387
2021-11-27,100.398
2021-11-28,100.409
2021-11-29,100.42
2021-11-30,100.431
2021-12-01,100.442
2021-12-02,100.453
2021-12-03,100.464
2021-12-04,100.475
2021-12-05,100.486
2021-12-06,100.497
2021-12-07,100.508
2021-12-08,100.519
2021-12-09,100.53
2021-12-10,100.541
2021-12-11,100.552
2021-12-12,100.563
2021-12-13,100.571
2021-12-14,100.579
2021-12-15,100.587
2021-12-16,100.594
2021-12-17,100.602
2021-12-18,100.609
2021-12-19,100.617
2021-12-20,100.624
2021-12-21,100.632
2021-12-22,100.64
2021-12-23,100.647
2021-12-24,100.655
2021-12-25,100.662
2021-12-26,100.67
2021-12-27,100.677
2021-12-28,100.685
2021-12-29,100.692
2021-12-30,100.699
2021-12-31,100.562
2022-01-01,100.569
2022-01-02,100.576
2022-01-03,100.584
2022-01-04,100.591
2022-01-05,100.599
2022-01-06,100.606
2022-01-07,100.614
2022-01-08,100.621
2022-01-09,100.629
2022-01-10,100.636
2022-01-11,100.644
2022-01-12,100.647
2022-01-13,100.655
2022-01-14,100.651
2022-01-15,100.658
2022-01-16,100.666
2022-01-17,100.67
2022-01-18,100.675
2022-01-19,100.679
2022-01-20,100.684
2022-01-21,100.688
2022-01-22,100.693
